Genetic Sudoku Experiment
Experiment Time: 23/06/2016 17:51:31
Expirement Parameters:,
Orginal Empty Cells:,55,
Population Size:,300,
Max Generations:,50,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
Percent of good indviduals from population:,0.5,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
0,22.0,2.0,12.066666666666666,Minimum( Mod( Minimum( div( Minimum( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) )  Maximum( Maximum( NumOfOptionsInCell  countEmptyCellInCol )  Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard ) ) )  Multi( Plus( Minus( countEmptyCellInCol  countEmptyCellInCol )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInCol )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) ) )  Maximum( Mod( Plus( Mod( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard ) )  div( Mod( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquareContainsNum ) ) )  Plus( Maximum( Mod( countEmptyCellInCol  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  NumOfOptionsInCell ) )  div( Multi( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Plus( countEmptyCellInRow  countEmptyCellsInRowsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  Min  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInSquareContainsNum )) Min (( NumOfOptionsInCell  Max  countEmptyCellInCol ) Max ( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ))) % ((( countEmptyCellInCol  -  countEmptyCellInCol ) + ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum )) * (( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )))) Min (((( countEmptyCellInSquare  %  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  numOfOptionsToAppearInBoard )) % (( countEmptyCellsInColsContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInSquareContainsNum  /  countEmptyCellsInSquareContainsNum ))) Max ((( countEmptyCellInCol  %  numOfOptionsToAppearInBoard ) Max ( NumOfOptionsInCell  /  NumOfOptionsInCell )) + (( NumOfOptionsInCell  *  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellInRow  +  countEmptyCellsInRowsContainsNum ))))),
1,22.0,3.0,11.69,Minimum( Mod( Minimum( Mod( div( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellsInSquareContainsNum ) )  Maximum( Maximum( NumOfOptionsInCell  countEmptyCellInCol )  Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard ) ) )  Multi( Plus( Minus( countEmptyCellInCol  countEmptyCellInCol )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInCol )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) ) )  Maximum( Mod( Plus( Mod( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard ) )  div( Mod( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquareContainsNum ) ) )  Plus( Maximum( Mod( countEmptyCellInCol  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  NumOfOptionsInCell ) )  div( Multi( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Plus( countEmptyCellInRow  countEmptyCellsInRowsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  /  countEmptyCellsInCols_ThatNotContainsNum ) % ( numOfOptionsToAppearInBoard  Min  countEmptyCellsInSquareContainsNum )) Min (( NumOfOptionsInCell  Max  countEmptyCellInCol ) Max ( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ))) % ((( countEmptyCellInCol  -  countEmptyCellInCol ) + ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum )) * (( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )))) Min (((( countEmptyCellInSquare  %  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  numOfOptionsToAppearInBoard )) % (( countEmptyCellsInColsContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInSquareContainsNum  /  countEmptyCellsInSquareContainsNum ))) Max ((( countEmptyCellInCol  %  numOfOptionsToAppearInBoard ) Max ( NumOfOptionsInCell  /  NumOfOptionsInCell )) + (( NumOfOptionsInCell  *  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellInRow  +  countEmptyCellsInRowsContainsNum ))))),
2,22.0,2.0,11.093333333333334,Maximum( Minus( Minimum( Plus( Maximum( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard ) )  Minimum( Maximum( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Mod( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInSquare ) ) )  Mod( Multi( Minimum( NumOfOptionsInCell  countEmptyCellInSquare )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInRow  countEmptyCellInRow )  Mod( countEmptyCellInSquare  countEmptyCellInRow ) ) ) )  Maximum( Mod( Mod( Maximum( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell )  Multi( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  div( Minus( NumOfOptionsInCell  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Maximum( Minimum( Multi( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard )  Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum ) )  Mod( Plus( countEmptyCellInCol  countEmptyCellInRow )  Multi( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  Max  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  Min  numOfOptionsToAppearInBoard )) Min (( countEmptyCellsInSquareContainsNum  Max  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInSquare_ThatNotContainsNum  %  countEmptyCellInSquare ))) - ((( NumOfOptionsInCell  Min  countEmptyCellInSquare ) * ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )) % (( countEmptyCellInRow  -  countEmptyCellInRow ) / ( countEmptyCellInSquare  %  countEmptyCellInRow )))) Max (((( countEmptyCellsInCols_ThatNotContainsNum  Max  NumOfOptionsInCell ) % ( countEmptyCellsInCols_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum )) % (( NumOfOptionsInCell  -  countEmptyCellInRow ) / ( countEmptyCellsInSquare_ThatNotContainsNum  +  NumOfOptionsInCell ))) Max ((( countEmptyCellsInColsContainsNum  *  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum )) Max (( countEmptyCellInCol  +  countEmptyCellInRow ) % ( countEmptyCellInRow  *  countEmptyCellsInSquare_ThatNotContainsNum ))))),
3,19.0,2.0,11.013333333333334,Minimum( Maximum( div( Plus( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Maximum( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) )  Mod( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Maximum( countEmptyCellInCol  countEmptyCellsInCols_ThatNotContainsNum ) ) )  Minimum( Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol ) )  Multi( div( countEmptyCellInRow  countEmptyCellInSquare )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInRow ) ) ) )  Plus( Plus( Plus( Mod( countEmptyCellsInColsContainsNum  countEmptyCellInCol )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInRow ) )  Mod( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellInRow  NumOfOptionsInCell ) ) )  Minus( Multi( div( countEmptyCellsInSquareContainsNum  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInRow ) )  div( Plus( countEmptyCellsInSquare_ThatNotContainsNum  NumOfOptionsInCell )  Plus( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) + ( NumOfOptionsInCell  Max  countEmptyCellsInRowsContainsNum )) / (( countEmptyCellsInSquareContainsNum  -  countEmptyCellInRow ) % ( countEmptyCellInCol  Max  countEmptyCellsInCols_ThatNotContainsNum ))) Max ((( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellInCol )) Min (( countEmptyCellInRow  /  countEmptyCellInSquare ) * ( numOfOptionsToAppearInBoard  +  countEmptyCellInRow )))) Min (((( countEmptyCellsInColsContainsNum  %  countEmptyCellInCol ) + ( numOfOptionsToAppearInBoard  Min  countEmptyCellInRow )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInSquareContainsNum ) % ( countEmptyCellInRow  Min  NumOfOptionsInCell ))) + ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInSquareContainsNum  *  countEmptyCellInRow )) - (( countEmptyCellsInSquare_ThatNotContainsNum  +  NumOfOptionsInCell ) / ( NumOfOptionsInCell  +  countEmptyCellInRow ))))),
4,19.0,2.0,10.636666666666667,Minimum( Maximum( div( Plus( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Maximum( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) )  Mod( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Maximum( countEmptyCellInCol  countEmptyCellsInCols_ThatNotContainsNum ) ) )  Minimum( Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol ) )  Multi( div( countEmptyCellInRow  countEmptyCellInSquare )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInRow ) ) ) )  Plus( Plus( Plus( Mod( countEmptyCellsInColsContainsNum  countEmptyCellInCol )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInRow ) )  Mod( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellInRow  NumOfOptionsInCell ) ) )  Minus( Multi( div( countEmptyCellsInSquareContainsNum  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInRow ) )  div( Plus( countEmptyCellsInSquare_ThatNotContainsNum  NumOfOptionsInCell )  Plus( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) + ( NumOfOptionsInCell  Max  countEmptyCellsInRowsContainsNum )) / (( countEmptyCellsInSquareContainsNum  -  countEmptyCellInRow ) % ( countEmptyCellInCol  Max  countEmptyCellsInCols_ThatNotContainsNum ))) Max ((( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellInCol )) Min (( countEmptyCellInRow  /  countEmptyCellInSquare ) * ( numOfOptionsToAppearInBoard  +  countEmptyCellInRow )))) Min (((( countEmptyCellsInColsContainsNum  %  countEmptyCellInCol ) + ( numOfOptionsToAppearInBoard  Min  countEmptyCellInRow )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInSquareContainsNum ) % ( countEmptyCellInRow  Min  NumOfOptionsInCell ))) + ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInSquareContainsNum  *  countEmptyCellInRow )) - (( countEmptyCellsInSquare_ThatNotContainsNum  +  NumOfOptionsInCell ) / ( NumOfOptionsInCell  +  countEmptyCellInRow ))))),
5,21.0,2.0,10.26,Maximum( Multi( Mod( Mod( div( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellInSquare  countEmptyCellsInCols_ThatNotContainsNum ) )  Minimum( Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Mod( Maximum( Mod( countEmptyCellInCol  countEmptyCellInCol )  div( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum ) )  div( Maximum( countEmptyCellInRow  countEmptyCellInSquare )  Minus( countEmptyCellsInSquareContainsNum  countEmptyCellInSquare ) ) ) )  Multi( div( Mod( Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInColsContainsNum )  Multi( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum ) )  Minus( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInColsContainsNum )  Maximum( countEmptyCellsInRowsContainsNum  countEmptyCellInRow ) ) )  Mod( Multi( div( countEmptyCellInSquare  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellsInRowsContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Plus( Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum )  Mod( countEmptyCellInRow  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  /  countEmptyCellInSquare ) % ( countEmptyCellInSquare  *  countEmptyCellsInCols_ThatNotContainsNum )) % (( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ))) * ((( countEmptyCellInCol  %  countEmptyCellInCol ) Max ( countEmptyCellInSquare  /  countEmptyCellsInSquare_ThatNotContainsNum )) % (( countEmptyCellInRow  Max  countEmptyCellInSquare ) / ( countEmptyCellsInSquareContainsNum  -  countEmptyCellInSquare )))) Max (((( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInColsContainsNum ) % ( countEmptyCellInCol  *  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellsInColsContainsNum ) - ( countEmptyCellsInRowsContainsNum  Max  countEmptyCellInRow ))) * ((( countEmptyCellInSquare  /  countEmptyCellsInRows_ThatNotContainsNum ) * ( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum )) % (( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellInRow  %  countEmptyCellsInColsContainsNum ))))),
6,22.0,4.0,10.26,Minus( Mod( Minimum( Maximum( div( countEmptyCellsInRowsContainsNum  countEmptyCellInCol )  Multi( countEmptyCellInCol  numOfOptionsToAppearInBoard ) )  Plus( div( countEmptyCellInCol  NumOfOptionsInCell )  Plus( countEmptyCellInSquare  countEmptyCellInCol ) ) )  Minimum( div( Minus( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellInCol  countEmptyCellsInRowsContainsNum ) )  Multi( Mod( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Maximum( NumOfOptionsInCell  countEmptyCellInSquare ) ) ) )  Minus( Maximum( Mod( Minus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Maximum( countEmptyCellsInSquareContainsNum  numOfOptionsToAppearInBoard ) )  Mod( Mod( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellInCol  countEmptyCellInCol ) ) )  div( Multi( Minimum( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) )  Mod( div( countEmptyCellInSquare  NumOfOptionsInCell )  div( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  /  countEmptyCellInCol ) Max ( countEmptyCellInCol  *  numOfOptionsToAppearInBoard )) Min (( countEmptyCellInCol  /  NumOfOptionsInCell ) + ( countEmptyCellInSquare  +  countEmptyCellInCol ))) % ((( NumOfOptionsInCell  -  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellInCol  Max  countEmptyCellsInRowsContainsNum )) Min (( countEmptyCellInRow  %  countEmptyCellsInRowsContainsNum ) * ( NumOfOptionsInCell  Max  countEmptyCellInSquare )))) - (((( countEmptyCellInRow  -  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInSquareContainsNum  Max  numOfOptionsToAppearInBoard )) Max (( countEmptyCellsInSquare_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum ) % ( countEmptyCellInCol  *  countEmptyCellInCol ))) - ((( NumOfOptionsInCell  Min  countEmptyCellInSquare ) * ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInSquareContainsNum )) / (( countEmptyCellInSquare  /  NumOfOptionsInCell ) % ( countEmptyCellsInCols_ThatNotContainsNum  /  countEmptyCellsInSquareContainsNum ))))),
7,19.0,2.0,9.92,Plus( Maximum( Plus( Maximum( div( numOfOptionsToAppearInBoard  countEmptyCellInRow )  Multi( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum ) )  Maximum( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Minus( Multi( Minimum( countEmptyCellsInSquareContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  countEmptyCellsInSquareContainsNum ) )  Mod( Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) ) ) )  Mod( Mod( Multi( Minimum( countEmptyCellInCol  countEmptyCellsInSquare_ThatNotContainsNum )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInColsContainsNum ) )  div( Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInSquare )  Mod( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) ) )  Minimum( Plus( Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInColsContainsNum )  Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) ) ) ),((((( numOfOptionsToAppearInBoard  /  countEmptyCellInRow ) Max ( NumOfOptionsInCell  *  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInSquareContainsNum ) Max ( countEmptyCellInCol  Max  countEmptyCellsInRows_ThatNotContainsNum ))) Max ((( countEmptyCellsInSquareContainsNum  Min  NumOfOptionsInCell ) * ( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInSquareContainsNum )) - (( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum ) % ( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum )))) + (((( countEmptyCellInCol  Min  countEmptyCellsInSquare_ThatNotContainsNum ) * ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInColsContainsNum )) % (( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellInSquare ) / ( NumOfOptionsInCell  %  countEmptyCellsInCols_ThatNotContainsNum ))) % ((( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )) Min (( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ))))),
8,20.0,3.0,9.9,Minimum( Multi( Minus( Plus( Multi( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellsInCols_ThatNotContainsNum ) )  Multi( Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum )  div( numOfOptionsToAppearInBoard  NumOfOptionsInCell ) ) )  Maximum( Mod( div( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Mod( countEmptyCellsInColsContainsNum  countEmptyCellsInRowsContainsNum ) )  Plus( div( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum )  Minus( countEmptyCellsInColsContainsNum  countEmptyCellInCol ) ) ) )  Multi( Mod( Mod( div( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellInSquare  countEmptyCellsInCols_ThatNotContainsNum ) )  Minimum( Multi( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) ) )  Mod( Maximum( Mod( countEmptyCellInCol  countEmptyCellInCol )  div( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum ) )  div( Maximum( countEmptyCellInRow  countEmptyCellInSquare )  Minus( countEmptyCellsInSquareContainsNum  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInRow  *  countEmptyCellsInSquare_ThatNotContainsNum ) + ( numOfOptionsToAppearInBoard  +  countEmptyCellsInCols_ThatNotContainsNum )) - (( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ) * ( numOfOptionsToAppearInBoard  /  NumOfOptionsInCell ))) * ((( countEmptyCellsInRows_ThatNotContainsNum  /  countEmptyCellsInRows_ThatNotContainsNum ) % ( countEmptyCellsInColsContainsNum  %  countEmptyCellsInRowsContainsNum )) Max (( numOfOptionsToAppearInBoard  /  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInColsContainsNum  -  countEmptyCellInCol )))) Min (((( NumOfOptionsInCell  /  countEmptyCellInSquare ) % ( countEmptyCellInSquare  *  countEmptyCellsInCols_ThatNotContainsNum )) % (( countEmptyCellsInSquare_ThatNotContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ))) * ((( countEmptyCellInCol  %  countEmptyCellInCol ) Max ( countEmptyCellInSquare  /  countEmptyCellsInSquare_ThatNotContainsNum )) % (( countEmptyCellInRow  Max  countEmptyCellInSquare ) / ( countEmptyCellsInSquareContainsNum  -  countEmptyCellInSquare ))))),
9,21.0,2.0,9.77,Plus( Maximum( Multi( Plus( Multi( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard ) )  Plus( Multi( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) ) )  Plus( Plus( Minus( countEmptyCellInSquare  countEmptyCellInCol )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  Multi( Plus( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) ) )  Minus( Minimum( Plus( Maximum( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard ) )  Minimum( Maximum( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Mod( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInSquare ) ) )  Mod( Multi( Minimum( NumOfOptionsInCell  countEmptyCellInSquare )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  div( Minus( countEmptyCellInRow  countEmptyCellInRow )  Mod( countEmptyCellInSquare  countEmptyCellInRow ) ) ) ) ),((((( numOfOptionsToAppearInBoard  *  NumOfOptionsInCell ) + ( countEmptyCellInCol  -  numOfOptionsToAppearInBoard )) * (( countEmptyCellsInCols_ThatNotContainsNum  *  countEmptyCellInCol ) + ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInSquare_ThatNotContainsNum ))) Max ((( countEmptyCellInSquare  -  countEmptyCellInCol ) + ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInRowsContainsNum )) + (( numOfOptionsToAppearInBoard  +  countEmptyCellsInRows_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum )))) + (((( NumOfOptionsInCell  Max  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  Min  numOfOptionsToAppearInBoard )) Min (( countEmptyCellsInSquareContainsNum  Max  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInSquare_ThatNotContainsNum  %  countEmptyCellInSquare ))) - ((( NumOfOptionsInCell  Min  countEmptyCellInSquare ) * ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum )) % (( countEmptyCellInRow  -  countEmptyCellInRow ) / ( countEmptyCellInSquare  %  countEmptyCellInRow ))))),
