Genetic Sudoku Experiment
Experiment Time: 23/06/2016 17:37:11
Expirement Parameters:,
Orginal Empty Cells:,55,
Population Size:,100,
Max Generations:,50,
Crossover Probability:,0.0,
Mutation Probability:,0.8,
Percent of good indviduals from population:,0.5,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
0,21.0,5.0,11.9,Multi( Minus( Minus( Maximum( Minus( countEmptyCellInCol  countEmptyCellInCol )  Minimum( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  div( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquareContainsNum )  div( countEmptyCellInCol  countEmptyCellInRow ) ) )  Minimum( div( Plus( countEmptyCellsInSquareContainsNum  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInCol ) )  Plus( Minus( countEmptyCellInRow  countEmptyCellsInColsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) ) )  Minus( Maximum( Maximum( Minimum( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol ) )  Multi( Minus( countEmptyCellInCol  countEmptyCellInCol )  Maximum( countEmptyCellInCol  countEmptyCellInRow ) ) )  Minimum( Maximum( Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInRow )  Multi( countEmptyCellsInColsContainsNum  countEmptyCellInRow ) )  div( Maximum( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard )  Multi( NumOfOptionsInCell  numOfOptionsToAppearInBoard ) ) ) ) ),((((( countEmptyCellInCol  -  countEmptyCellInCol ) Max ( NumOfOptionsInCell  Min  countEmptyCellsInCols_ThatNotContainsNum )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellInCol  /  countEmptyCellInRow ))) - ((( countEmptyCellsInSquareContainsNum  +  NumOfOptionsInCell ) / ( countEmptyCellInSquare  *  countEmptyCellInCol )) Min (( countEmptyCellInRow  -  countEmptyCellsInColsContainsNum ) + ( numOfOptionsToAppearInBoard  +  countEmptyCellsInColsContainsNum )))) * (((( countEmptyCellsInRowsContainsNum  Min  numOfOptionsToAppearInBoard ) Max ( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellInCol )) Max (( countEmptyCellInCol  -  countEmptyCellInCol ) * ( countEmptyCellInCol  Max  countEmptyCellInRow ))) - ((( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellInRow ) Max ( countEmptyCellsInColsContainsNum  *  countEmptyCellInRow )) Min (( countEmptyCellsInRowsContainsNum  Max  numOfOptionsToAppearInBoard ) / ( NumOfOptionsInCell  *  numOfOptionsToAppearInBoard ))))),
1,21.0,3.0,11.84,Maximum( Plus( Mod( Minimum( Minus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInSquare )  Multi( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) )  Maximum( Multi( countEmptyCellInSquare  countEmptyCellInSquare )  Minus( countEmptyCellsInSquareContainsNum  NumOfOptionsInCell ) ) )  Maximum( Mod( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Maximum( NumOfOptionsInCell  countEmptyCellInRow ) )  Multi( Plus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol )  Mod( countEmptyCellInSquare  countEmptyCellInCol ) ) ) )  Minus( Plus( Minimum( Mod( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInSquare ) )  Minimum( Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum )  div( NumOfOptionsInCell  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Plus( Maximum( Minimum( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellInCol  countEmptyCellsInRowsContainsNum ) )  Maximum( div( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellsInCols_ThatNotContainsNum  -  countEmptyCellInSquare ) Min ( countEmptyCellsInCols_ThatNotContainsNum  *  countEmptyCellsInColsContainsNum )) % (( countEmptyCellInSquare  *  countEmptyCellInSquare ) Max ( countEmptyCellsInSquareContainsNum  -  NumOfOptionsInCell ))) + ((( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInRows_ThatNotContainsNum ) % ( NumOfOptionsInCell  Max  countEmptyCellInRow )) Max (( countEmptyCellsInCols_ThatNotContainsNum  +  countEmptyCellInCol ) * ( countEmptyCellInSquare  %  countEmptyCellInCol )))) Max (((( countEmptyCellsInSquare_ThatNotContainsNum  %  countEmptyCellsInRowsContainsNum ) Min ( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellInSquare )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInSquareContainsNum ) Min ( NumOfOptionsInCell  /  countEmptyCellsInRows_ThatNotContainsNum ))) - ((( countEmptyCellInCol  Min  countEmptyCellsInRows_ThatNotContainsNum ) Max ( countEmptyCellInCol  *  countEmptyCellsInRowsContainsNum )) + (( countEmptyCellsInCols_ThatNotContainsNum  /  countEmptyCellsInRows_ThatNotContainsNum ) Max ( countEmptyCellsInRows_ThatNotContainsNum  *  NumOfOptionsInCell ))))),
2,20.0,4.0,12.04,Multi( Minimum( Minus( Mod( Plus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  Maximum( Multi( countEmptyCellInCol  NumOfOptionsInCell )  div( countEmptyCellsInColsContainsNum  countEmptyCellInRow ) ) )  Plus( Minus( div( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInCol )  Minus( countEmptyCellInRow  numOfOptionsToAppearInBoard ) )  Multi( div( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum ) ) ) )  Plus( Mod( Multi( Plus( countEmptyCellInCol  countEmptyCellsInColsContainsNum )  Plus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) )  Multi( Multi( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum )  Plus( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) ) )  Plus( Maximum( Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum )  Minus( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  Multi( div( countEmptyCellInRow  countEmptyCellInRow )  Plus( countEmptyCellsInSquareContainsNum  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellsInCols_ThatNotContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ) % ( numOfOptionsToAppearInBoard  Min  numOfOptionsToAppearInBoard )) - (( countEmptyCellInCol  *  NumOfOptionsInCell ) Max ( countEmptyCellsInColsContainsNum  /  countEmptyCellInRow ))) Min ((( countEmptyCellsInRows_ThatNotContainsNum  /  countEmptyCellInCol ) - ( countEmptyCellInRow  -  numOfOptionsToAppearInBoard )) + (( countEmptyCellsInCols_ThatNotContainsNum  /  countEmptyCellsInRowsContainsNum ) * ( numOfOptionsToAppearInBoard  +  countEmptyCellsInRows_ThatNotContainsNum )))) * (((( countEmptyCellInCol  +  countEmptyCellsInColsContainsNum ) * ( countEmptyCellsInCols_ThatNotContainsNum  +  countEmptyCellsInColsContainsNum )) % (( NumOfOptionsInCell  *  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellInRow  +  countEmptyCellsInSquareContainsNum ))) + ((( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum ) Max ( NumOfOptionsInCell  -  countEmptyCellsInCols_ThatNotContainsNum )) + (( countEmptyCellInRow  /  countEmptyCellInRow ) * ( countEmptyCellsInSquareContainsNum  +  countEmptyCellInRow ))))),
3,20.0,4.0,11.7,Multi( div( Minimum( Minimum( Plus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellsInSquare_ThatNotContainsNum ) )  Maximum( Minus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Maximum( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) ) )  Plus( Minimum( Multi( countEmptyCellsInColsContainsNum  countEmptyCellInRow )  Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum ) )  div( Multi( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInCol ) ) ) )  div( Minus( Multi( Plus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInCol )  Plus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum ) )  Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInCol )  Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Minus( div( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( countEmptyCellInCol  NumOfOptionsInCell ) )  Minus( Plus( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInRow ) ) ) ) ),((((( numOfOptionsToAppearInBoard  +  countEmptyCellsInColsContainsNum ) Min ( numOfOptionsToAppearInBoard  Min  countEmptyCellsInSquare_ThatNotContainsNum )) Min (( countEmptyCellsInCols_ThatNotContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) Max ( numOfOptionsToAppearInBoard  Max  countEmptyCellInSquare ))) / ((( countEmptyCellsInColsContainsNum  *  countEmptyCellInRow ) Min ( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellsInRowsContainsNum )) + (( countEmptyCellInRow  *  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellInCol )))) * (((( countEmptyCellsInCols_ThatNotContainsNum  +  countEmptyCellInCol ) * ( countEmptyCellInCol  +  countEmptyCellsInRowsContainsNum )) - (( countEmptyCellsInSquareContainsNum  /  countEmptyCellInCol ) - ( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum ))) / ((( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellsInCols_ThatNotContainsNum ) / ( countEmptyCellInCol  Min  NumOfOptionsInCell )) - (( countEmptyCellsInRowsContainsNum  +  numOfOptionsToAppearInBoard ) - ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellInRow ))))),
4,20.0,4.0,11.93,Plus( div( Multi( Multi( Plus( countEmptyCellsInRowsContainsNum  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum ) )  Plus( Minimum( countEmptyCellInRow  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) ) )  Multi( div( Maximum( NumOfOptionsInCell  countEmptyCellsInColsContainsNum )  Plus( countEmptyCellInCol  countEmptyCellsInColsContainsNum ) )  div( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Maximum( countEmptyCellsInColsContainsNum  countEmptyCellInRow ) ) ) )  Minus( div( Minus( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) )  div( Plus( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  div( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) ) )  Minus( Maximum( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard ) )  Plus( div( NumOfOptionsInCell  countEmptyCellInSquare )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  +  countEmptyCellsInSquare_ThatNotContainsNum ) * ( NumOfOptionsInCell  Min  countEmptyCellsInSquareContainsNum )) * (( countEmptyCellInRow  Min  NumOfOptionsInCell ) + ( countEmptyCellsInRowsContainsNum  /  countEmptyCellInSquare ))) / ((( NumOfOptionsInCell  Max  countEmptyCellsInColsContainsNum ) / ( countEmptyCellInCol  +  countEmptyCellsInColsContainsNum )) * (( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) / ( countEmptyCellsInColsContainsNum  Max  countEmptyCellInRow )))) + (((( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) - ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum )) / (( numOfOptionsToAppearInBoard  +  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInRowsContainsNum  /  countEmptyCellInSquare ))) - ((( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) Max ( countEmptyCellsInRowsContainsNum  *  numOfOptionsToAppearInBoard )) - (( NumOfOptionsInCell  /  countEmptyCellInSquare ) + ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInColsContainsNum ))))),
5,21.0,2.0,12.24,Minus( Mod( div( Mod( Multi( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum )  Maximum( countEmptyCellInRow  countEmptyCellInCol ) )  Minus( Mod( countEmptyCellInCol  countEmptyCellInCol )  Plus( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) ) )  Plus( Minus( Mod( countEmptyCellInCol  countEmptyCellInRow )  Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard ) )  Minus( Maximum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInRow )  Maximum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) ) ) )  Minus( Mod( Maximum( Minus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Plus( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum ) )  Minimum( Multi( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) ) )  div( div( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) )  Mod( div( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Maximum( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellsInCols_ThatNotContainsNum  *  countEmptyCellsInSquare_ThatNotContainsNum ) % ( countEmptyCellInRow  Max  countEmptyCellInCol )) / (( countEmptyCellInCol  %  countEmptyCellInCol ) - ( countEmptyCellsInCols_ThatNotContainsNum  +  countEmptyCellsInCols_ThatNotContainsNum ))) % ((( countEmptyCellInCol  %  countEmptyCellInRow ) - ( countEmptyCellInCol  -  numOfOptionsToAppearInBoard )) + (( countEmptyCellsInSquare_ThatNotContainsNum  Max  countEmptyCellInRow ) - ( countEmptyCellsInSquare_ThatNotContainsNum  Max  countEmptyCellsInSquareContainsNum )))) - (((( countEmptyCellsInSquare_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum ) Max ( countEmptyCellInSquare  +  countEmptyCellsInRowsContainsNum )) % (( countEmptyCellInCol  *  countEmptyCellsInRowsContainsNum ) Min ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum ))) - ((( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellsInRowsContainsNum  Max  countEmptyCellInSquare )) / (( countEmptyCellsInRows_ThatNotContainsNum  /  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInCols_ThatNotContainsNum  Max  NumOfOptionsInCell ))))),
6,20.0,3.0,12.29,Minus( div( Maximum( Minimum( Minus( numOfOptionsToAppearInBoard  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) )  Multi( Plus( countEmptyCellsInSquareContainsNum  countEmptyCellInCol )  Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquareContainsNum ) ) )  div( Maximum( div( countEmptyCellsInRowsContainsNum  countEmptyCellInRow )  Maximum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( div( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell ) ) ) )  Maximum( Multi( Minimum( Maximum( countEmptyCellsInSquareContainsNum  countEmptyCellsInRowsContainsNum )  div( NumOfOptionsInCell  NumOfOptionsInCell ) )  div( Maximum( countEmptyCellsInRowsContainsNum  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInColsContainsNum ) ) )  Mod( Minimum( Multi( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInSquareContainsNum ) )  Multi( div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) ) ) ) ),((((( numOfOptionsToAppearInBoard  -  countEmptyCellsInSquareContainsNum ) Min ( countEmptyCellsInColsContainsNum  Max  NumOfOptionsInCell )) Max (( countEmptyCellsInSquareContainsNum  +  countEmptyCellInCol ) * ( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInSquareContainsNum ))) / ((( countEmptyCellsInRowsContainsNum  /  countEmptyCellInRow ) Max ( countEmptyCellsInColsContainsNum  Max  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellInRow  /  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  /  NumOfOptionsInCell )))) - (((( countEmptyCellsInSquareContainsNum  Max  countEmptyCellsInRowsContainsNum ) Min ( NumOfOptionsInCell  /  NumOfOptionsInCell )) * (( countEmptyCellsInRowsContainsNum  Max  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInColsContainsNum ))) Max ((( countEmptyCellInCol  *  countEmptyCellsInRows_ThatNotContainsNum ) Min ( numOfOptionsToAppearInBoard  -  countEmptyCellsInSquareContainsNum )) % (( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInCols_ThatNotContainsNum ) * ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInSquare_ThatNotContainsNum ))))),
7,20.0,4.0,12.69,Minimum( Maximum( Plus( Plus( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  countEmptyCellsInSquareContainsNum ) )  div( Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum ) ) )  Minus( Minimum( div( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInRow ) )  div( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( countEmptyCellInCol  NumOfOptionsInCell ) ) ) )  div( div( div( Minimum( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Mod( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) )  Maximum( Plus( numOfOptionsToAppearInBoard  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInCol ) ) )  div( Multi( Mod( countEmptyCellInRow  countEmptyCellInRow )  Multi( countEmptyCellInCol  NumOfOptionsInCell ) )  Plus( Minus( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  Mod( countEmptyCellsInColsContainsNum  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) + ( numOfOptionsToAppearInBoard  /  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellInRow  -  countEmptyCellsInSquare_ThatNotContainsNum ))) Max ((( numOfOptionsToAppearInBoard  /  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInSquareContainsNum  *  countEmptyCellInRow )) - (( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) / ( countEmptyCellInCol  -  NumOfOptionsInCell )))) Min (((( NumOfOptionsInCell  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( numOfOptionsToAppearInBoard  %  countEmptyCellsInColsContainsNum )) / (( numOfOptionsToAppearInBoard  +  countEmptyCellInRow ) Max ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInCol ))) / ((( countEmptyCellInRow  %  countEmptyCellInRow ) * ( countEmptyCellInCol  *  NumOfOptionsInCell )) / (( numOfOptionsToAppearInBoard  -  numOfOptionsToAppearInBoard ) + ( countEmptyCellsInColsContainsNum  %  countEmptyCellInSquare ))))),
8,20.0,4.0,12.6,Minimum( Maximum( Plus( Plus( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  countEmptyCellsInSquareContainsNum ) )  div( Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Minus( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum ) ) )  Minus( Minimum( div( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellInRow ) )  div( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( countEmptyCellInCol  NumOfOptionsInCell ) ) ) )  div( div( div( Minimum( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Mod( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) )  Maximum( Plus( numOfOptionsToAppearInBoard  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInCol ) ) )  div( Multi( Mod( countEmptyCellInRow  countEmptyCellInRow )  Multi( countEmptyCellInCol  NumOfOptionsInCell ) )  Multi( div( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  numOfOptionsToAppearInBoard ) ) ) ) ),((((( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) + ( numOfOptionsToAppearInBoard  /  countEmptyCellsInSquareContainsNum )) + (( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellInRow  -  countEmptyCellsInSquare_ThatNotContainsNum ))) Max ((( numOfOptionsToAppearInBoard  /  countEmptyCellsInColsContainsNum ) Min ( countEmptyCellsInSquareContainsNum  *  countEmptyCellInRow )) - (( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) / ( countEmptyCellInCol  -  NumOfOptionsInCell )))) Min (((( NumOfOptionsInCell  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( numOfOptionsToAppearInBoard  %  countEmptyCellsInColsContainsNum )) / (( numOfOptionsToAppearInBoard  +  countEmptyCellInRow ) Max ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInCol ))) / ((( countEmptyCellInRow  %  countEmptyCellInRow ) * ( countEmptyCellInCol  *  NumOfOptionsInCell )) / (( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInColsContainsNum  Min  numOfOptionsToAppearInBoard ))))),
9,21.0,5.0,12.83,div( Multi( Multi( Minus( Mod( countEmptyCellInCol  countEmptyCellInCol )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  div( Mod( countEmptyCellsInSquareContainsNum  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInSquareContainsNum ) ) )  Minimum( Mod( div( countEmptyCellsInColsContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) )  Maximum( Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( countEmptyCellsInSquare_ThatNotContainsNum  NumOfOptionsInCell ) ) ) )  Plus( Plus( Plus( div( countEmptyCellsInSquare_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInSquareContainsNum  countEmptyCellInSquare ) )  Plus( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInRowsContainsNum ) ) )  Maximum( Maximum( Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquareContainsNum )  Multi( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellInSquare  countEmptyCellInCol ) ) ) ) ),((((( countEmptyCellInCol  %  countEmptyCellInCol ) - ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellsInSquare_ThatNotContainsNum )) * (( countEmptyCellsInSquareContainsNum  %  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellsInSquareContainsNum ))) * ((( countEmptyCellsInColsContainsNum  /  countEmptyCellsInCols_ThatNotContainsNum ) % ( countEmptyCellsInRowsContainsNum  Min  countEmptyCellInSquare )) Min (( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellsInCols_ThatNotContainsNum ) Max ( countEmptyCellsInSquare_ThatNotContainsNum  -  NumOfOptionsInCell )))) / (((( countEmptyCellsInSquare_ThatNotContainsNum  /  NumOfOptionsInCell ) + ( countEmptyCellsInSquareContainsNum  /  countEmptyCellInSquare )) + (( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) + ( numOfOptionsToAppearInBoard  -  countEmptyCellsInRowsContainsNum ))) + ((( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellsInSquareContainsNum ) Max ( countEmptyCellInCol  *  countEmptyCellsInRows_ThatNotContainsNum )) Max (( countEmptyCellsInSquareContainsNum  -  countEmptyCellInRow ) Min ( countEmptyCellInSquare  +  countEmptyCellInCol ))))),
