Genetic Sudoku Experiment
Experiment Time: 23/06/2016 18:05:31
Expirement Parameters:,
Orginal Empty Cells:,55,
Population Size:,100,
Max Generations:,80,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
Percent of good indviduals from population:,0.5,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
0,19.0,2.0,11.88,Maximum( Minus( Plus( Mod( Maximum( countEmptyCellInRow  NumOfOptionsInCell )  Maximum( countEmptyCellInRow  numOfOptionsToAppearInBoard ) )  Maximum( Minus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Minus( countEmptyCellInRow  countEmptyCellInCol ) ) )  Plus( Minimum( Minus( countEmptyCellInRow  countEmptyCellInCol )  Mod( NumOfOptionsInCell  NumOfOptionsInCell ) )  Multi( Mod( NumOfOptionsInCell  NumOfOptionsInCell )  Mod( countEmptyCellInRow  countEmptyCellInSquare ) ) ) )  Multi( Plus( div( Mod( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  Maximum( NumOfOptionsInCell  countEmptyCellInCol ) )  Multi( Multi( NumOfOptionsInCell  countEmptyCellInCol )  Plus( countEmptyCellInCol  countEmptyCellInSquare ) ) )  Minimum( Maximum( div( NumOfOptionsInCell  countEmptyCellInCol )  Minus( countEmptyCellInSquare  countEmptyCellInSquare ) )  Maximum( Multi( NumOfOptionsInCell  countEmptyCellInRow )  Maximum( countEmptyCellInSquare  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInRow  Max  NumOfOptionsInCell ) % ( countEmptyCellInRow  Max  numOfOptionsToAppearInBoard )) + (( countEmptyCellInRow  -  numOfOptionsToAppearInBoard ) Max ( countEmptyCellInRow  -  countEmptyCellInCol ))) - ((( countEmptyCellInRow  -  countEmptyCellInCol ) Min ( NumOfOptionsInCell  %  NumOfOptionsInCell )) + (( NumOfOptionsInCell  %  NumOfOptionsInCell ) * ( countEmptyCellInRow  %  countEmptyCellInSquare )))) Max (((( numOfOptionsToAppearInBoard  %  numOfOptionsToAppearInBoard ) / ( NumOfOptionsInCell  Max  countEmptyCellInCol )) + (( NumOfOptionsInCell  *  countEmptyCellInCol ) * ( countEmptyCellInCol  +  countEmptyCellInSquare ))) * ((( NumOfOptionsInCell  /  countEmptyCellInCol ) Max ( countEmptyCellInSquare  -  countEmptyCellInSquare )) Min (( NumOfOptionsInCell  *  countEmptyCellInRow ) Max ( countEmptyCellInSquare  Max  NumOfOptionsInCell ))))),
1,21.0,2.0,11.28,Minimum( Plus( Minus( Maximum( Minimum( NumOfOptionsInCell  NumOfOptionsInCell )  div( countEmptyCellInCol  numOfOptionsToAppearInBoard ) )  Minimum( div( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  div( countEmptyCellInRow  countEmptyCellInSquare ) ) )  div( div( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Minus( countEmptyCellInSquare  NumOfOptionsInCell ) )  Maximum( Multi( NumOfOptionsInCell  countEmptyCellInCol )  Plus( NumOfOptionsInCell  countEmptyCellInCol ) ) ) )  div( Minimum( Minus( Minimum( countEmptyCellInSquare  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  div( div( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInRow  countEmptyCellInCol ) ) )  Mod( Mod( Minimum( countEmptyCellInSquare  countEmptyCellInSquare )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInCol ) )  Minimum( Plus( countEmptyCellInCol  countEmptyCellInCol )  Mod( countEmptyCellInSquare  countEmptyCellInSquare ) ) ) ) ),((((( NumOfOptionsInCell  Min  NumOfOptionsInCell ) Max ( countEmptyCellInCol  /  numOfOptionsToAppearInBoard )) - (( NumOfOptionsInCell  /  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  /  countEmptyCellInSquare ))) + ((( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  -  NumOfOptionsInCell )) / (( NumOfOptionsInCell  *  countEmptyCellInCol ) Max ( NumOfOptionsInCell  +  countEmptyCellInCol )))) Min (((( countEmptyCellInSquare  Min  NumOfOptionsInCell ) - ( numOfOptionsToAppearInBoard  /  numOfOptionsToAppearInBoard )) Min (( countEmptyCellInRow  /  numOfOptionsToAppearInBoard ) / ( countEmptyCellInRow  +  countEmptyCellInCol ))) / ((( countEmptyCellInSquare  Min  countEmptyCellInSquare ) % ( numOfOptionsToAppearInBoard  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  +  countEmptyCellInCol ) Min ( countEmptyCellInSquare  %  countEmptyCellInSquare ))))),
2,19.0,2.0,10.35,Minimum( Plus( Minus( Maximum( Minimum( NumOfOptionsInCell  NumOfOptionsInCell )  div( countEmptyCellInCol  numOfOptionsToAppearInBoard ) )  Minimum( div( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  div( countEmptyCellInRow  countEmptyCellInSquare ) ) )  div( div( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Minus( countEmptyCellInSquare  NumOfOptionsInCell ) )  Maximum( Multi( NumOfOptionsInCell  countEmptyCellInCol )  Plus( NumOfOptionsInCell  countEmptyCellInCol ) ) ) )  div( Minimum( Minus( Minimum( countEmptyCellInSquare  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  div( div( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInRow  countEmptyCellInCol ) ) )  Mod( Mod( Minimum( countEmptyCellInSquare  countEmptyCellInSquare )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInCol ) )  Plus( Minimum( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  div( countEmptyCellInCol  countEmptyCellInSquare ) ) ) ) ),((((( NumOfOptionsInCell  Min  NumOfOptionsInCell ) Max ( countEmptyCellInCol  /  numOfOptionsToAppearInBoard )) - (( NumOfOptionsInCell  /  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  /  countEmptyCellInSquare ))) + ((( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  -  NumOfOptionsInCell )) / (( NumOfOptionsInCell  *  countEmptyCellInCol ) Max ( NumOfOptionsInCell  +  countEmptyCellInCol )))) Min (((( countEmptyCellInSquare  Min  NumOfOptionsInCell ) - ( numOfOptionsToAppearInBoard  /  numOfOptionsToAppearInBoard )) Min (( countEmptyCellInRow  /  numOfOptionsToAppearInBoard ) / ( countEmptyCellInRow  +  countEmptyCellInCol ))) / ((( countEmptyCellInSquare  Min  countEmptyCellInSquare ) % ( numOfOptionsToAppearInBoard  Min  countEmptyCellInCol )) % (( numOfOptionsToAppearInBoard  Min  numOfOptionsToAppearInBoard ) + ( countEmptyCellInCol  /  countEmptyCellInSquare ))))),
3,19.0,2.0,10.21,Minimum( Minus( Maximum( Multi( Mod( countEmptyCellInRow  NumOfOptionsInCell )  Plus( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  Maximum( Plus( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  div( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) ) )  Mod( Maximum( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  countEmptyCellInRow ) )  div( div( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  Minimum( NumOfOptionsInCell  numOfOptionsToAppearInBoard ) ) ) )  div( Minimum( Minus( Minimum( countEmptyCellInSquare  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  div( div( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInRow  countEmptyCellInCol ) ) )  Mod( Mod( Minimum( countEmptyCellInSquare  countEmptyCellInSquare )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInCol ) )  Plus( Minimum( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  div( countEmptyCellInCol  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInRow  %  NumOfOptionsInCell ) * ( numOfOptionsToAppearInBoard  +  numOfOptionsToAppearInBoard )) Max (( numOfOptionsToAppearInBoard  +  numOfOptionsToAppearInBoard ) Max ( numOfOptionsToAppearInBoard  /  countEmptyCellInSquare ))) - ((( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) Max ( NumOfOptionsInCell  /  countEmptyCellInRow )) % (( numOfOptionsToAppearInBoard  /  numOfOptionsToAppearInBoard ) / ( NumOfOptionsInCell  Min  numOfOptionsToAppearInBoard )))) Min (((( countEmptyCellInSquare  Min  NumOfOptionsInCell ) - ( numOfOptionsToAppearInBoard  /  numOfOptionsToAppearInBoard )) Min (( countEmptyCellInRow  /  numOfOptionsToAppearInBoard ) / ( countEmptyCellInRow  +  countEmptyCellInCol ))) / ((( countEmptyCellInSquare  Min  countEmptyCellInSquare ) % ( numOfOptionsToAppearInBoard  Min  countEmptyCellInCol )) % (( numOfOptionsToAppearInBoard  Min  numOfOptionsToAppearInBoard ) + ( countEmptyCellInCol  /  countEmptyCellInSquare ))))),
4,23.0,2.0,9.92,Minimum( Minus( div( Minimum( Mod( countEmptyCellInRow  NumOfOptionsInCell )  Maximum( countEmptyCellInSquare  NumOfOptionsInCell ) )  Minimum( Mod( countEmptyCellInRow  NumOfOptionsInCell )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) ) )  Minus( Minus( Mod( countEmptyCellInCol  NumOfOptionsInCell )  Plus( countEmptyCellInRow  countEmptyCellInCol ) )  Minus( Minus( countEmptyCellInRow  countEmptyCellInRow )  div( countEmptyCellInCol  numOfOptionsToAppearInBoard ) ) ) )  div( Minimum( Minus( Minimum( countEmptyCellInSquare  NumOfOptionsInCell )  div( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard ) )  div( div( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInRow  countEmptyCellInCol ) ) )  Mod( Mod( Minimum( countEmptyCellInSquare  countEmptyCellInSquare )  Minimum( numOfOptionsToAppearInBoard  countEmptyCellInCol ) )  Plus( Minimum( numOfOptionsToAppearInBoard  numOfOptionsToAppearInBoard )  div( countEmptyCellInCol  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInRow  %  NumOfOptionsInCell ) Min ( countEmptyCellInSquare  Max  NumOfOptionsInCell )) / (( countEmptyCellInRow  %  NumOfOptionsInCell ) Min ( numOfOptionsToAppearInBoard  +  countEmptyCellInSquare ))) - ((( countEmptyCellInCol  %  NumOfOptionsInCell ) - ( countEmptyCellInRow  +  countEmptyCellInCol )) - (( countEmptyCellInRow  -  countEmptyCellInRow ) - ( countEmptyCellInCol  /  numOfOptionsToAppearInBoard )))) Min (((( countEmptyCellInSquare  Min  NumOfOptionsInCell ) - ( numOfOptionsToAppearInBoard  /  numOfOptionsToAppearInBoard )) Min (( countEmptyCellInRow  /  numOfOptionsToAppearInBoard ) / ( countEmptyCellInRow  +  countEmptyCellInCol ))) / ((( countEmptyCellInSquare  Min  countEmptyCellInSquare ) % ( numOfOptionsToAppearInBoard  Min  countEmptyCellInCol )) % (( numOfOptionsToAppearInBoard  Min  numOfOptionsToAppearInBoard ) + ( countEmptyCellInCol  /  countEmptyCellInSquare ))))),
5,19.0,2.0,9.9,Minimum( Maximum( Mod( Plus( Plus( countEmptyCellInSquare  countEmptyCellInCol )  Maximum( countEmptyCellInCol  countEmptyCellInRow ) )  div( Minus( NumOfOptionsInCell  countEmptyCellInRow )  Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard ) ) )  Minimum( Minimum( Maximum( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Maximum( countEmptyCellInRow  countEmptyCellInSquare ) )  Maximum( Plus( NumOfOptionsInCell  NumOfOptionsInCell )  Mod( countEmptyCellInSquare  numOfOptionsToAppearInBoard ) ) ) )  Multi( Plus( Maximum( Plus( countEmptyCellInSquare  countEmptyCellInCol )  Minus( NumOfOptionsInCell  NumOfOptionsInCell ) )  div( Maximum( countEmptyCellInSquare  countEmptyCellInRow )  Minus( NumOfOptionsInCell  countEmptyCellInRow ) ) )  Maximum( div( Plus( countEmptyCellInRow  countEmptyCellInCol )  Maximum( countEmptyCellInSquare  numOfOptionsToAppearInBoard ) )  Plus( Minus( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Maximum( numOfOptionsToAppearInBoard  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellInSquare  +  countEmptyCellInCol ) + ( countEmptyCellInCol  Max  countEmptyCellInRow )) % (( NumOfOptionsInCell  -  countEmptyCellInRow ) / ( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ))) Max ((( countEmptyCellInCol  Max  numOfOptionsToAppearInBoard ) Min ( countEmptyCellInRow  Max  countEmptyCellInSquare )) Min (( NumOfOptionsInCell  +  NumOfOptionsInCell ) Max ( countEmptyCellInSquare  %  numOfOptionsToAppearInBoard )))) Min (((( countEmptyCellInSquare  +  countEmptyCellInCol ) Max ( NumOfOptionsInCell  -  NumOfOptionsInCell )) + (( countEmptyCellInSquare  Max  countEmptyCellInRow ) / ( NumOfOptionsInCell  -  countEmptyCellInRow ))) * ((( countEmptyCellInRow  +  countEmptyCellInCol ) / ( countEmptyCellInSquare  Max  numOfOptionsToAppearInBoard )) Max (( numOfOptionsToAppearInBoard  -  countEmptyCellInSquare ) + ( numOfOptionsToAppearInBoard  Max  countEmptyCellInRow ))))),
6,23.0,2.0,9.52,Minimum( Maximum( Mod( Mod( div( countEmptyCellInRow  countEmptyCellInCol )  Minimum( countEmptyCellInRow  countEmptyCellInCol ) )  Multi( Minimum( countEmptyCellInCol  countEmptyCellInCol )  Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard ) ) )  Minus( Mod( div( numOfOptionsToAppearInBoard  countEmptyCellInRow )  Plus( countEmptyCellInRow  countEmptyCellInSquare ) )  Maximum( Maximum( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Mod( countEmptyCellInSquare  countEmptyCellInRow ) ) ) )  div( Plus( Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  countEmptyCellInRow ) )  div( Minimum( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( numOfOptionsToAppearInBoard  NumOfOptionsInCell ) ) )  Mod( Maximum( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Mod( countEmptyCellInSquare  countEmptyCellInSquare ) )  Maximum( Minimum( countEmptyCellInRow  NumOfOptionsInCell )  Mod( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellInRow  /  countEmptyCellInCol ) % ( countEmptyCellInRow  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  Min  countEmptyCellInCol ) * ( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ))) Max ((( numOfOptionsToAppearInBoard  /  countEmptyCellInRow ) % ( countEmptyCellInRow  +  countEmptyCellInSquare )) - (( countEmptyCellInCol  Max  numOfOptionsToAppearInBoard ) Max ( countEmptyCellInSquare  %  countEmptyCellInRow )))) Min (((( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  /  countEmptyCellInRow )) + (( numOfOptionsToAppearInBoard  Min  NumOfOptionsInCell ) / ( numOfOptionsToAppearInBoard  -  NumOfOptionsInCell ))) / ((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) Max ( countEmptyCellInSquare  %  countEmptyCellInSquare )) % (( countEmptyCellInRow  Min  NumOfOptionsInCell ) Max ( NumOfOptionsInCell  %  countEmptyCellInRow ))))),
7,21.0,2.0,9.3,Minimum( Maximum( Mod( Mod( div( countEmptyCellInRow  countEmptyCellInCol )  Minimum( countEmptyCellInRow  countEmptyCellInCol ) )  Multi( Minimum( countEmptyCellInCol  countEmptyCellInCol )  Minus( countEmptyCellInCol  numOfOptionsToAppearInBoard ) ) )  Minus( Mod( div( numOfOptionsToAppearInBoard  countEmptyCellInRow )  Plus( countEmptyCellInRow  countEmptyCellInSquare ) )  Maximum( Maximum( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Mod( countEmptyCellInSquare  countEmptyCellInRow ) ) ) )  div( Plus( Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  countEmptyCellInRow ) )  div( Minimum( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( numOfOptionsToAppearInBoard  NumOfOptionsInCell ) ) )  Mod( Maximum( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Mod( countEmptyCellInSquare  countEmptyCellInSquare ) )  Maximum( Minimum( countEmptyCellInRow  NumOfOptionsInCell )  Mod( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellInRow  /  countEmptyCellInCol ) % ( countEmptyCellInRow  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  Min  countEmptyCellInCol ) * ( countEmptyCellInCol  -  numOfOptionsToAppearInBoard ))) Max ((( numOfOptionsToAppearInBoard  /  countEmptyCellInRow ) % ( countEmptyCellInRow  +  countEmptyCellInSquare )) - (( countEmptyCellInCol  Max  numOfOptionsToAppearInBoard ) Max ( countEmptyCellInSquare  %  countEmptyCellInRow )))) Min (((( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  /  countEmptyCellInRow )) + (( numOfOptionsToAppearInBoard  Min  NumOfOptionsInCell ) / ( numOfOptionsToAppearInBoard  -  NumOfOptionsInCell ))) / ((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) Max ( countEmptyCellInSquare  %  countEmptyCellInSquare )) % (( countEmptyCellInRow  Min  NumOfOptionsInCell ) Max ( NumOfOptionsInCell  %  countEmptyCellInRow ))))),
8,17.0,2.0,9.65,Minimum( Minus( Plus( Maximum( Mod( countEmptyCellInCol  countEmptyCellInCol )  Maximum( NumOfOptionsInCell  NumOfOptionsInCell ) )  Mod( div( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Minus( NumOfOptionsInCell  countEmptyCellInSquare ) ) )  Plus( Minus( div( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Minimum( NumOfOptionsInCell  countEmptyCellInCol ) )  Plus( Plus( countEmptyCellInRow  countEmptyCellInRow )  Mod( countEmptyCellInRow  countEmptyCellInRow ) ) ) )  div( Plus( Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  countEmptyCellInRow ) )  div( Minimum( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( numOfOptionsToAppearInBoard  NumOfOptionsInCell ) ) )  Mod( Maximum( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Mod( countEmptyCellInSquare  countEmptyCellInSquare ) )  Maximum( Minimum( countEmptyCellInRow  NumOfOptionsInCell )  Mod( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellInCol  %  countEmptyCellInCol ) Max ( NumOfOptionsInCell  Max  NumOfOptionsInCell )) + (( countEmptyCellInCol  /  numOfOptionsToAppearInBoard ) % ( NumOfOptionsInCell  -  countEmptyCellInSquare ))) - ((( NumOfOptionsInCell  /  numOfOptionsToAppearInBoard ) - ( NumOfOptionsInCell  Min  countEmptyCellInCol )) + (( countEmptyCellInRow  +  countEmptyCellInRow ) + ( countEmptyCellInRow  %  countEmptyCellInRow )))) Min (((( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  /  countEmptyCellInRow )) + (( numOfOptionsToAppearInBoard  Min  NumOfOptionsInCell ) / ( numOfOptionsToAppearInBoard  -  NumOfOptionsInCell ))) / ((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) Max ( countEmptyCellInSquare  %  countEmptyCellInSquare )) % (( countEmptyCellInRow  Min  NumOfOptionsInCell ) Max ( NumOfOptionsInCell  %  countEmptyCellInRow ))))),
9,21.0,2.0,9.59,Minimum( Minus( Plus( Maximum( Mod( countEmptyCellInCol  countEmptyCellInCol )  Maximum( NumOfOptionsInCell  NumOfOptionsInCell ) )  Mod( div( countEmptyCellInCol  numOfOptionsToAppearInBoard )  Minus( NumOfOptionsInCell  countEmptyCellInSquare ) ) )  Plus( Minus( div( NumOfOptionsInCell  numOfOptionsToAppearInBoard )  Minimum( NumOfOptionsInCell  countEmptyCellInCol ) )  Plus( Plus( countEmptyCellInRow  countEmptyCellInRow )  Mod( countEmptyCellInRow  countEmptyCellInRow ) ) ) )  div( Plus( Minimum( Plus( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  div( NumOfOptionsInCell  countEmptyCellInRow ) )  div( Minimum( numOfOptionsToAppearInBoard  NumOfOptionsInCell )  Minus( numOfOptionsToAppearInBoard  NumOfOptionsInCell ) ) )  Mod( Maximum( Minimum( numOfOptionsToAppearInBoard  countEmptyCellInSquare )  Mod( countEmptyCellInSquare  countEmptyCellInSquare ) )  Maximum( Minimum( countEmptyCellInRow  NumOfOptionsInCell )  Mod( NumOfOptionsInCell  countEmptyCellInRow ) ) ) ) ),((((( countEmptyCellInCol  %  countEmptyCellInCol ) Max ( NumOfOptionsInCell  Max  NumOfOptionsInCell )) + (( countEmptyCellInCol  /  numOfOptionsToAppearInBoard ) % ( NumOfOptionsInCell  -  countEmptyCellInSquare ))) - ((( NumOfOptionsInCell  /  numOfOptionsToAppearInBoard ) - ( NumOfOptionsInCell  Min  countEmptyCellInCol )) + (( countEmptyCellInRow  +  countEmptyCellInRow ) + ( countEmptyCellInRow  %  countEmptyCellInRow )))) Min (((( countEmptyCellInSquare  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  /  countEmptyCellInRow )) + (( numOfOptionsToAppearInBoard  Min  NumOfOptionsInCell ) / ( numOfOptionsToAppearInBoard  -  NumOfOptionsInCell ))) / ((( numOfOptionsToAppearInBoard  Min  countEmptyCellInSquare ) Max ( countEmptyCellInSquare  %  countEmptyCellInSquare )) % (( countEmptyCellInRow  Min  NumOfOptionsInCell ) Max ( NumOfOptionsInCell  %  countEmptyCellInRow ))))),
